"ID"	"Latitude"	"Longitude"	"year"	"site_type"	"area_km2"	"monitoring_start"	"monitoring_end"	"grab_sampling"	"eds_sampling"	"invertebrate_analysis"	"multiprobe_sampling"
"S1"	52.16	12.67	2018	"Agricultural"	20.7	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S2"	53.18	12.09	2019	"Agricultural"	14.42	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S3"	53.21	12.36	2019	"Agricultural"	4.8	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S4"	53.14	12.17	2018	"Agricultural"	9.79	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"no"
"S5"	53.3	12.26	2019	"Agricultural"	17.3	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S6"	48.74	8.14	2018	"Agricultural"	10.8	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S7"	48.67	8.09	2019	"Agricultural"	19.07	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S8"	48.69	8.04	2019	"Agricultural"	17.46	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S9"	48.46	10.97	2018	"Agricultural"	18.5	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S10"	48.56	12.31	2019	"Agricultural"	19.29	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S11"	48.29	12.35	2019	"Agricultural"	5.92	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S12"	48.42	12.73	2018	"Agricultural"	5.9	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S13"	48.41	10.94	2018	"Agricultural"	4.6	"2018-04-09"	"2018-07-06"	"yes"	"no"	"yes"	"yes"
"S14"	50.28	10.53	2019	"Agricultural"	12.99	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S15"	48.12	12.42	2019	"Agricultural"	14.49	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S16"	48.29	12.55	2019	"Agricultural"	12.15	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S17"	48.29	12.48	2019	"Agricultural"	10.05	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S18"	48.42	12.73	2018	"Agricultural"	21.2	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S19"	48.63	12.9	2018	"Agricultural"	11.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S20"	48.65	12.42	2019	"Agricultural"	21.86	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S21"	50.4	9.08	2019	"Agricultural"	8.1	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S22"	50.36	8.99	2018	"Agricultural"	11.42	"2018-04-09"	"2018-07-06"	"yes"	"event missed"	"yes"	"yes"
"S22"	50.36	8.99	2019	"Agricultural"	11.42	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S23"	50.45	9.01	2019	"Agricultural"	17.59	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S24"	50.41	8.88	2018	"Agricultural"	22.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S25"	50.41	8.92	2018	"Agricultural"	5.66	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S26"	54.16	12.36	2019	"Agricultural"	8.51	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S27"	53.99	11.54	2018	"Agricultural"	23.7	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S28"	53.98	12.11	2019	"Agricultural"	10.82	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S29"	53.96	11.15	2019	"Agricultural"	12.26	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S30"	53.49	10.91	2019	"Agricultural"	9.1	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
