"ID"	"year"	"streamType"	"FS.confirmed"	"URL.portal"
"S1"	2018	"Typ 16: Kiesgeprägte Tieflandbäche"	"yes"	"https://mlul.brandenburg.de/mlul/de/umwelt/wasser/gewaesserschutz-und-entwicklung/anwendung-wrrl-daten-2015/"
"S2"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"yes"	"https://mlul.brandenburg.de/mlul/de/umwelt/wasser/gewaesserschutz-und-entwicklung/anwendung-wrrl-daten-2015/"
"S3"	2019	"Typ 11: Organisch geprägte Bäche"	"yes"	"https://mlul.brandenburg.de/mlul/de/umwelt/wasser/gewaesserschutz-und-entwicklung/anwendung-wrrl-daten-2015/"
"S4"	2018	"Typ 11: Organisch geprägte Bäche"	"yes"	"https://mlul.brandenburg.de/mlul/de/umwelt/wasser/gewaesserschutz-und-entwicklung/anwendung-wrrl-daten-2015/"
"S5"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"yes"	"https://mlul.brandenburg.de/mlul/de/umwelt/wasser/gewaesserschutz-und-entwicklung/anwendung-wrrl-daten-2015/"
"S6"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"yes"	
"S7"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://udo.lubw.baden-wuerttemberg.de/public/pages/map/default/index.xhtml"
"S8"	2019	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://udo.lubw.baden-wuerttemberg.de/public/pages/map/default/index.xhtml"
"S9"	2018	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S10"	2019	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S11"	2019	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S12"	2018	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S13"	2018	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S14"	2019	"Typ 6_K: Feinmaterialreiche, karbonatische Mittelgebirgsbäche des Keupers"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S15"	2019	"Typ 3.1: Bäche der Jungmoränen des Alpenvorlandes "	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S16"	2019	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S17"	2019	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S18"	2018	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S19"	2018	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S20"	2019	"Typ 2.1: Bäche des Alpenvorlandes"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S21"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S22"	2018	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S22"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S23"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S24"	2018	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S25"	2018	"Typ 9: Silikatische, fein- bis grobmaterialreiche Mittelgebirgsflüsse "	"no"	"http://wrrl.hessen.de/mapapps/resources/apps/wrrl/index.html?lang=de"
"S26"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"yes"	
"S27"	2018	"Typ 16: Kiesgeprägte Tieflandbäche"	"yes"	
"S28"	2019	"Typ 11: Organisch geprägte Bäche"	"yes"	
"S29"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"yes"	
"S30"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"yes"	
"S31"	2019	"Typ 14: Sandgeprägte Tieflandbäche"	"yes"	
"S32"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5788180.48&Y=577827.15&zoom=9"
"S33"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5778815.00&Y=601207.50&zoom=10"
"S34"	2018	"Typ 14: Sandgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5805302.56&Y=378679.04&zoom=9"
"S35"	2019	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5782232.00&Y=615714.00&zoom=11"
"S35"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5782232.00&Y=615714.00&zoom=11"
"S36"	2018	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5776130.00&Y=528705.00&zoom=9"
"S37"	2019	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5851270.00&Y=482735.00&zoom=9"
