"ID"	"date"	"flow_velocity_ms"
"S1"	2018-04-11	0.5
"S1"	2018-05-25	0.33
"S1"	2018-06-12	0.43
"S1"	2018-07-09	0.32
"S1"	2018-08-01	0.4
"S2"	2019-04-10	0.14
"S2"	2019-04-29	0.05
"S2"	2019-05-20	0.085
"S2"	2019-06-11	0.13
"S3"	2019-04-11	0.35
"S3"	2019-04-29	0.25
"S3"	2019-05-20	0.28
"S3"	2019-06-11	0.18
"S4"	2018-04-10	0.1
"S4"	2018-05-22	0.11
"S4"	2018-06-12	0.16
"S4"	2018-07-10	0.15
"S4"	2018-08-01	0.14
"S5"	2019-04-10	0.1
"S5"	2019-04-29	0.1
"S5"	2019-05-20	0.16
"S5"	2019-06-11	0.02
"S6"	2018-05-29	0.05
"S6"	2018-06-20	0.2
"S7"	2019-04-09	0.27
"S7"	2019-04-30	0.3
"S7"	2019-05-20	0.3
"S7"	2019-06-12	0.3
"S7"	2019-07-03	0.32
"S8"	2019-04-09	0.05
"S8"	2019-04-30	0.1
"S8"	2019-05-20	0.25
"S8"	2019-06-12	0.09
"S8"	2019-07-03	0.15
"S9"	2018-04-10	0.35
"S9"	2018-05-03	0.45
"S9"	2018-05-22	0.55
"S9"	2018-06-13	1
"S9"	2018-07-03	0.25
"S9"	2018-10-17	0.45
"S10"	2019-04-08	0.3
"S10"	2019-05-02	0.15
"S10"	2019-05-23	0.3
"S10"	2019-06-14	0.2
"S10"	2019-07-08	0.09
"S11"	2019-04-09	1.3
"S11"	2019-05-01	0.45
"S11"	2019-05-22	0.5
"S11"	2019-06-13	0.3
"S11"	2019-07-09	0.25
"S12"	2018-04-09	0.3
"S12"	2018-05-02	0.4
"S12"	2018-05-21	0.3
"S12"	2018-06-12	0.2
"S12"	2018-07-02	0.4
"S12"	2018-10-18	0.2
"S13"	2018-04-10	0.15
"S13"	2018-05-03	0.3
"S13"	2018-05-22	0.2
"S13"	2018-06-13	0.25
"S13"	2018-07-03	0.1
"S13"	2018-10-17	0
"S14"	2019-04-16	0.5
"S14"	2019-04-29	0.9
"S14"	2019-05-20	0.5
"S14"	2019-06-11	0.3
"S15"	2019-04-10	0.4
"S15"	2019-05-01	0.6
"S15"	2019-05-22	1
"S15"	2019-06-13	0.35
"S15"	2019-07-09	0.2
"S16"	2019-04-09	0.65
"S16"	2019-05-22	0.5
"S16"	2019-06-13	0.8
"S16"	2019-07-08	0.25
"S17"	2019-04-09	0.685
"S17"	2019-05-01	0.9
"S17"	2019-05-22	0.55
"S17"	2019-06-13	0.6
"S17"	2019-07-09	0.4
"S18"	2018-04-09	0.15
"S18"	2018-05-03	0.13
"S18"	2018-05-21	0.1
"S18"	2018-06-12	0.46
"S18"	2018-07-02	0.3
"S18"	2018-10-18	0.3
"S19"	2018-04-09	0.5
"S19"	2018-05-02	0.25
"S19"	2018-05-21	0.14
"S19"	2018-06-12	0.33
"S19"	2018-07-02	0.1
"S19"	2018-10-18	0.15
"S20"	2019-04-08	0.65
"S20"	2019-05-02	0.55
"S20"	2019-05-23	0.45
"S20"	2019-06-14	0.25
"S20"	2019-07-08	0.4
"S21"	2019-04-11	0.2
