"ID"	"method"	"date"	"eventDate"	"NO2"	"NO2_N"	"NO3"	"NO3_N"	"PO4"	"PO4_P"	"NH4"	"NH4_N"	"equipment"	"NO2_lower_limit_of_quantification_mgL"	"NO2_upper_limit_of_quantification_mgL"	"NO3_lower_limit_of_quantification_mgL"	"NO3_upper_limit_of_quantification_mgL"	"PO4_lower_limit_of_quantification_mgL"	"PO4_upper_limit_of_quantification_mgL"	"NH4_lower_limit_of_quantification_mgL"	"NH4_upper_limit_of_quantification_mgL"
"S1"	"grab"	"2018-05-01"		0	0	0	0	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S1"	"grab"	"2018-06-04"		0	0	0	0	0.125	0.041	0	0	"Colorimetric Test"								
"S2"	"eds"	"2019-06-15"	"2019-06-12"	0.2	0.061	2.833	0.64	1.785	0.582	2.572	1.997	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S2"	"grab"	"2019-07-01"		0.112	0.034	1.948	0.44	18.599	6.065	0.292	0.227	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S2"	"grab"	"2019-04-29"		0.21	0.064	3.984	0.9	0.852	0.278	1.156	0.898	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S2"	"grab"	"2019-06-11"		0.076	0.023	1.682	0.38	1.073	0.35	0.258	0.2	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S2"	"grab"	"2019-04-10"		0.085	0.026	8.853	2	0.202	0.066	0.125	0.097	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S2"	"grab"	"2019-05-20"		0.108	0.033	1.638	0.37	1.828	0.596	0.325	0.252	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S3"	"grab"	"2019-04-11"		0.072	0.022	3.541	0.8	0.172	0.056	0.264	0.205	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S3"	"grab"	"2019-05-20"		0.066	0.02	1.549	0.35	0.331	0.108	0.215	0.167	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
