"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S1"	"2018-05-01"	"grab"	0.069	1.05	0	0	0	0	0	0
"S1"	"2018-04-15"	"eds"			0	52	0		1.3	0.03
"S1"	"2018-05-25"	"grab"			0	4	0		0.5	0
"S1"	"2018-06-12"	"grab"	0.044	0.78	0	3	0	0	0.7	0
"S1"	"2018-10-12"	"grab"	0.024	0.306	0	0	0		0	0
"S1"	"2018-06-04"	"grab"	0.014	0.339	0	0	0	0	0	0
"S2"	"2019-06-11"	"grab"	0.051	0.2	0	0	0	0	0	0
"S2"	"2019-04-29"	"grab"	0.249	2.76	0.8	2	0	0.003	2.4	0
"S2"	"2019-04-10"	"grab"	0.12	2.6	0	0	0	0	0	0
"S2"	"2019-06-12"	"eds"	0.618	9.63	1.9	0	0.4	0.017	1.6	0
"S2"	"2019-05-20"	"grab"	0.068	0.776	0	0	0	0.005	0	0
"S2"	"2019-07-01"	"grab"	0.228	0.821	0	0	0	0.012	0.5	0
"S3"	"2019-04-11"	"grab"	0.055	1.92	0.4	0	0	0	0	0
"S3"	"2019-06-11"	"grab"	0.084	0.88	0.7	0	0	0	0	0
"S3"	"2019-05-20"	"grab"	0.105	0.819	0.7	0	0	0.004	1.3	0
"S3"	"2019-07-01"	"grab"	0.269	2.53	0.6	0	0	0.01	0.5	0
"S3"	"2019-06-12"	"eds"	0.153	2.4	0.7	6	1.12	0.014	9.7	0
"S3"	"2019-04-29"	"grab"	0.084	1.4	0	0	0.11	0.002	2.6	0
"S4"	"2018-06-06"	"grab"	0.062	1.85	0	0	0	0	0	0
"S4"	"2018-05-10"	"eds"	0.125	0.324	0	194	0	0.011	11.2	0.1
"S4"	"2018-10-24"	"grab"	0.032	0.965	0	0	0		0	0
"S4"	"2018-05-02"	"grab"	0.069	3.6	0	0	0	0.003	2.1	0
"S5"	"2019-06-16"	"eds"	0.039	23.6	0.9	0	0.15	0	5.6	0
"S5"	"2019-06-11"	"grab"	0.022	0.38	1.2	2	0	0	0.9	0
"S5"	"2019-05-20"	"grab"	0.014	3.77	0.9	2	0	0.004	1.7	0
"S5"	"2019-06-11"	"eds"	0.081	2.29	1.7	0	0.15	0.004	1.8	0.02
"S5"	"2019-04-29"	"grab"	0.02	6.41	0.7	0	0	0.003	0.8	0
"S5"	"2019-07-01"	"grab"	0.027	0.649	1.6	2	0	0	2	0
"S5"	"2019-04-10"	"grab"	0.025	9.58	0.8	2	0	0	1.9	0
"S6"	"2018-05-09"	"grab"	0.095	1.25	2.4	3	0	0.003	1	0
"S6"	"2018-07-07"	"eds"	0.118	1.46	2	2	0	0.021	4.2	0
"S6"	"2018-06-10"	"eds"	0.279	3.15	3.2	2	0	0.022	11.1	0.01
"S7"	"2019-05-04"	"eds"	0.031	1.49				0		
"S7"	"2019-06-12"	"grab"	0.161	1.95	0	3	0	0	0.9	0.02
"S7"	"2019-05-20"	"grab"	0.023	0.861	0.5	3	0	0	0.8	0
"S7"	"2019-06-16"	"eds"	0.065	2.61	0	6	0.07	0.012	9	0
"S7"	"2019-04-30"	"grab"	0.009	1.08	0	3	0	0	0	0
"S7"	"2019-05-08"	"eds"	0.042	1.31				0		
"S7"	"2019-05-18"	"eds"	0.034	1.56	0	8	0	0	3.9	0
"S7"	"2019-07-03"	"grab"	0.011	0.847	0.6	0	0	0.005	2.5	0
"S7"	"2019-04-09"	"grab"	0	1.06	0	3	0	0	0.7	0
"S8"	"2019-05-12"	"eds"	0.03	1.55				0		
"S8"	"2019-06-12"	"eds"			0.8	2	0.11		3.5	0
"S8"	"2019-07-03"	"grab"	0.006	0	2	0	0	0.005	1.5	0
"S8"	"2019-04-30"	"grab"	0	0.227	2	0	0	0	0	0
"S8"	"2019-05-20"	"eds"	0.027	1.43	1.1	4	0	0	3.2	0
"S8"	"2019-04-09"	"grab"	0.008	0.43	1.9	2	0	0	0.7	0
"S8"	"2019-06-12"	"grab"	0.019	1.36	1.7	0	0	0	1	0
"S8"	"2019-05-20"	"grab"	0.022	1.46	1	4	0	0	2.3	0
"S9"	"2018-06-11"	"eds"	0.22	2.55	2.2	15	0	0.04	5.3	0
"S9"	"2018-05-24"	"eds"	0.093	1.06	2.7	0	0	0.002	1.2	0
"S9"	"2018-05-24"	"eds"	0.207	11.7	3	2	0	0.006	5.9	0.02
"S9"	"2018-10-17"	"grab"	0.046	2.35	2.5	2	0		0.9	0.03
"S9"	"2018-06-07"	"grab"	0.031	12.7	2.4	0	0	0	0	0
"S9"	"2018-06-11"	"eds"	0.729	12.1	2.4	5	0		5.5	0
"S9"	"2018-05-31"	"eds"	0.18	9.59	2	22	0	0.003	5.1	0
"S9"	"2018-05-03"	"grab"	0.166	16	1.9	0	0	0.003	0.7	0
"S9"	"2018-07-03"	"grab"	1.3	14.2	2.3	4	0	0.062	8.1	0
"S10"	"2019-04-08"	"grab"	0.323	6.77	1.3	9	0	0	1.6	0
