"ID"	"date"	"pH"
"S1"	2018-04-17	8.05
"S1"	2018-04-11	7.88
"S1"	2018-06-04	8.24
"S1"	2018-06-12	8.31
"S1"	2018-07-09	8.36
"S1"	2018-05-25	8.13
"S1"	2018-08-01	8.36
"S2"	2019-07-01	7.92
"S2"	2019-04-29	7.72
"S2"	2019-05-20	7.71
"S2"	2019-06-11	7.82
"S2"	2019-04-10	8.08
"S3"	2019-04-29	7.64
"S3"	2019-06-11	7.53
"S3"	2019-05-20	7.47
"S3"	2019-04-11	7.69
"S3"	2019-07-01	7.7
"S4"	2018-08-01	8.35
"S4"	2018-04-10	7.72
"S4"	2018-07-10	8.3
"S4"	2018-06-12	8.34
"S4"	2018-06-06	8.24
"S4"	2018-05-22	8.13
"S5"	2019-04-29	8.09
"S5"	2019-04-10	8.18
"S5"	2019-07-01	7.8
"S5"	2019-05-20	7.68
"S5"	2019-06-11	7.71
"S6"	2018-07-12	7.42
"S6"	2018-06-20	7.82
"S6"	2018-05-29	7.84
"S6"	2018-05-09	7.88
"S6"	2018-05-23	7.89
"S7"	2019-04-30	7.32
"S7"	2019-06-12	7.74
"S7"	2019-07-03	7.463
"S7"	2019-04-09	7.29
"S7"	2019-05-20	6.66
"S8"	2019-07-03	8.058
"S8"	2019-06-12	6.88
"S8"	2019-05-20	6.39
"S8"	2019-04-09	7.8
"S8"	2019-04-30	6.93
"S9"	2018-10-17	7.89
"S9"	2018-04-10	7.55
"S9"	2018-07-03	6.66
"S9"	2018-06-13	7.97
"S9"	2018-05-03	8.21
"S9"	2018-05-22	8.07
"S10"	2019-06-14	6.94
"S10"	2019-05-02	6.88
"S10"	2019-05-23	6.95
"S10"	2019-04-08	6.85
"S10"	2019-07-08	8.05
"S11"	2019-06-13	6.83
"S11"	2019-04-09	6.88
"S11"	2019-05-01	6.82
"S11"	2019-05-22	6.89
"S11"	2019-07-09	8.18
"S12"	2018-05-02	8.3
"S12"	2018-06-12	8.34
"S12"	2018-07-02	6.75
"S12"	2018-05-21	8.27
"S12"	2018-10-18	8.11
"S12"	2018-04-09	8.11
"S13"	2018-07-03	6.68
"S13"	2018-10-17	7.51
"S13"	2018-04-10	7.88
"S13"	2018-05-22	8.3
"S13"	2018-06-13	8.03
"S13"	2018-05-03	8.41
"S14"	2019-06-11	6.73
"S14"	2019-04-16	6.76
"S14"	2019-07-01	6.76
"S14"	2019-04-29	6.74
"S14"	2019-05-20	6.76
"S15"	2019-04-10	6.99
"S15"	2019-07-09	8.51
"S15"	2019-06-13	7.04
"S15"	2019-05-22	6.95
"S15"	2019-05-01	6.9
"S16"	2019-05-22	6.92
"S16"	2019-07-08	8.34
"S16"	2019-04-09	6.87
"S16"	2019-06-13	6.84
"S16"	2019-05-01	6.85
"S17"	2019-04-09	6.85
"S17"	2019-07-09	8.41
"S17"	2019-05-22	6.97
"S17"	2019-05-01	6.85
"S17"	2019-06-13	6.87
"S18"	2018-10-18	7.77
