"ID"	"date"	"taxa"	"AQEM_taxon_ID"	"group"	"family"	"genus"	"abundance_m2"	"generation_time"	"sensitive"	"exposed"	"refuge_taxon"	"SPEciesAtRisk"
"S1"	"2018-06-04"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	8.8	0.5	-0.25	1	1	1
"S1"	"2018-06-04"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	16.8	0.5	0.02	0	1	0
"S1"	"2018-06-04"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	0.8	0.42	-0.39	0	1	0
"S1"	"2018-06-04"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	8	0.42	-0.39	0	1	0
"S1"	"2018-06-04"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	4.8					
"S1"	"2018-06-04"	"Ecdyonurus insignis"	5046	"Ephemeroptera"	"Heptageniidae"	"Ecdyonurus"	6.4	0.5	-0.3	1	1	1
"S1"	"2018-06-04"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	9.6	2	-0.3	1	0	0
"S1"	"2018-06-04"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	106.4	0.58	0.16	0	1	0
"S1"	"2018-06-04"	"Orectochilus villosus"	18613	"Coleoptera"	"Gyrinidae"	"Orectochilus"	0.8	1	-1.15	0	1	0
"S1"	"2018-06-04"	"Potamopyrgus antipodarum"	8251	"Gastropoda"	"Hydrobiidae"	"Potamopyrgus"	0.8	0.75	-1.82	1	1	0
"S1"	"2018-06-04"	"Hydropsyche siltalai"	5604	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	0.8	1	-1.03	1	1	0
"S1"	"2018-06-04"	"Leuctra inermis"	5769	"Plecoptera"	"Leuctridae"	"Leuctra"	4.8	1	0.38	1	1	1
"S1"	"2018-06-04"	"Limnephilus lunatus"	5837	"Trichoptera"	"Limnephilidae"	"Limnephilus"	0.8	1	-0.06	1	1	1
"S1"	"2018-06-04"	"Halesus radiatus"	5376	"Trichoptera"	"Limnephilidae"	"Halesus"	0.8	1	-0.06	1	1	1
"S1"	"2018-06-04"	"Stenophylax vibex"	6913	"Trichoptera"	"Limnephilidae"	"Stenophylax"	2.4	1	-0.06	1	1	1
"S1"	"2018-06-04"	"Sericostoma personatum"	6817	"Trichoptera"	"Sericostomatidae"	"Sericostoma"	5.6	1	-0.06	1	0	0
"S1"	"2018-06-04"	"Sialidae Gen. sp."	9292	"Megaloptera"	"Sialidae"	"Sialidae"	0.8	2	-0.06	1	1	1
"S1"	"2018-06-04"	"Silo nigricornis"	6833	"Trichoptera"	"Goeridae"	"Silo"	1.6	1	-0.06	1	0	0
"S1"	"2018-06-04"	"Tubifex sp."	7115	"Oligochaeta"	"Tubificidae"	"Tubifex"	0.8	0.5	-0.93	1	1	0
"S1"	"2018-06-04"	"Dugesia gonocephala"	5018	"Turbellaria"	"Dugesiidae"	"Dugesia"	4	1	-0.43	1	1	0
"S2"	"2019-06-03"	"Asellus aquaticus"	8691	"Crustacea"	"Asellidae"	"Asellus"	1.6	0.5	-0.46	1	1	0
"S2"	"2019-06-03"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	6.4	0.5	-0.25	1	1	1
"S2"	"2019-06-03"	"Cloeon dipterum"	4705	"Ephemeroptera"	"Baetidae"	"Cloeon"	1.6	0.5	-0.25	1	1	1
"S2"	"2019-06-03"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	7.2	0.5	0.02	0	1	0
"S2"	"2019-06-03"	"Ceratopogoninae/Palpomyiinae Gen. sp."	14768	"Diptera"	"Ceratopogonidae"	"Ceratopogoninae/Palpomyiinae"	4.8	0.33	-0.35	1	1	0
"S2"	"2019-06-03"	"Chironomini Gen. sp."	4644	"Diptera"	"Chironomidae"	"Chironomini"	20.8	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	1.6	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Tanytarsini Gen. sp."	6977	"Diptera"	"Chironomidae"	"Tanytarsini"	86.4	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Orthocladiinae Gen. sp."	6208	"Diptera"	"Chironomidae"	"Orthocladiinae"	4.8	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	49.6	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Chironomidae Gen. sp."	4642	"Diptera"	"Chironomidae"	"Chironomidae"	8	0.42	-0.39	0	1	0
"S2"	"2019-06-03"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	96					
"S2"	"2019-06-03"	"Platambus maculatus"	18649	"Coleoptera"	"Dytiscidae"	"Platambus"	0.8	1	-0.81	0	1	0
"S2"	"2019-06-03"	"Laccophilus sp."	18359	"Coleoptera"	"Dytiscidae"	"Laccophilus"	0.8	1	-0.81	0	1	0
"S2"	"2019-06-03"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	5.6	2	-0.3	1	0	0
"S2"	"2019-06-03"	"Ephemeroptera Gen. sp."	8714	"Ephemeroptera"	"Ephemeroptera"	"Ephemeroptera"	8.8	1	-0.3	1	1	1
"S2"	"2019-06-03"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	188.8	0.58	0.16	0	1	0
"S2"	"2019-06-03"	"Georissidae Gen. sp."	17831	"Coleoptera"	"Georissidae"	"Georissidae"	2.4	1	-1.15	1	1	0
"S2"	"2019-06-03"	"Glossiphonia complanata"	5304	"Hirudinea"	"Glossiphoniidae"	"Glossiphonia"	1.6	1	-0.6	1	1	0
"S2"	"2019-06-03"	"Chaetopteryx fusca/villosa"	8826	"Trichoptera"	"Limnephilidae"	"Chaetopteryx"	0.8	1	-0.06	1	1	1
"S2"	"2019-06-03"	"Pilaria sp."	6403	"Diptera"	"Limoniidae"	"Pilaria"	1.6	1	-0.35	0	1	0
"S2"	"2019-06-03"	"Ptychoptera sp."	7492	"Diptera"	"Ptychopteridae"	"Ptychoptera"	3.2	0.75	-0.35	0	1	0
"S2"	"2019-06-03"	"Sericostoma flavicorne/personatum"	9747	"Trichoptera"	"Sericostomatidae"	"Sericostoma"	3.2	1	-0.06	1	0	0
"S2"	"2019-06-03"	"Pisidium sp."	6425	"Bivalvia"	"Sphaeriidae"	"Pisidium"	10.4	1	-2.09	1	1	0
"S2"	"2019-06-03"	"Tubificidae Gen. sp."	7117	"Oligochaeta"	"Tubificidae"	"Tubificidae"	3.2	0.5	-0.93	1	1	0
"S3"	"2019-06-03"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	81.6	0.5	-0.25	1	1	1
"S3"	"2019-06-03"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	16	0.5	0.02	0	1	0
"S3"	"2019-06-03"	"Chironomini Gen. sp."	4644	"Diptera"	"Chironomidae"	"Chironomini"	108.8	0.42	-0.39	0	1	0
"S3"	"2019-06-03"	"Orthocladiinae Gen. sp."	6208	"Diptera"	"Chironomidae"	"Orthocladiinae"	4.8	0.42	-0.39	0	1	0
"S3"	"2019-06-03"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	56.8	0.42	-0.39	0	1	0
"S3"	"2019-06-03"	"Tanytarsini Gen. sp."	6977	"Diptera"	"Chironomidae"	"Tanytarsini"	61.6	0.42	-0.39	0	1	0
"S3"	"2019-06-03"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	160					
