"substance"	"substance_official"	"Chemical_Abstracts_Service_registry_number"	"pesticide_type"	"LC50_invertebrates_µgL"	"LC50_invertebrates_source"	"Regulatory_Acceptable_Concentration_µgL"	"field_based_Acceptable_Concentration_µgL"	"Annual_Average_Environmental_Quality_Standard_µgL"	"Maximum_Acceptable_Concentration_Environmental_Quality_Standard_µgL"
"2_4_D"	"2,4-D"	"94-75-7"	"H"	12400	"Ecotox"	1.1		0.2	1
"acetamiprid"	"Acetamiprid"	"135410-20-7"	"I"	11.56	"Ecotox"	0.018	0.006264		
"aclonifen"	"Aclonifen"	"74070-46-5"	"H"	1200	"IUPAC"	0.5		0.12	0.12
"aminobifenox_acid"	"Aminobifenox acid"		"M"		"IUPAC"				
"azoxystrobin"	"Azoxystrobin"	"131860-33-8"	"F"	230	"IUPAC"	0.55	0.124626		
"azoxystrobin_acid"	"Azoxystrobin acid"	"1185255-09-7"	"M"		"IUPAC"				
"bentazon"	"Bentazon"	"25057-89-0"	"H"	1e+05	"IUPAC"	535		0.1	
"bifenox_free_acid"	"Bifenox free acid"	"53774-07-5"	"M"		"IUPAC"				
"bixafen"	"Bixafen"	"581809-46-3"	"F"	1200	"IUPAC"	0.46			
"boscalid"	"Boscalid"	"188425-85-6"	"F"	5330	"IUPAC"	12.5			
"bromoxynil"	"Bromoxynil"	"1689-84-5"	"H"	12500	"IUPAC"	0.25	6.773171	0.5	
"captan_THPAM"	"Captan Metabolit THPAM"	"133-06-2"	"M"	7100	"IUPAC"				
"captan_THPI"	"Captan Metabolit THPI"	"85-40-5"	"M"		"IUPAC"				
"chlorantraniliprole"	"Chlorantraniliprole"	"500008-45-7"	"I"	11.6	"IUPAC"	0.355	0.006286		
"chloridazon"	"Chloridazon"	"1698-60-8"	"H"	132000	"IUPAC"	56		0.1	
"chloridazon_desphenyl"	"Chloridazon-desphenyl"	"6339-19-1"	"M"		"IUPAC"				
"chloridazon_methyl_desphenyl"	"Chloridazon-methyl desphenyl"	"17254-80-7"	"M"		"IUPAC"				
"chlorothalonil_R471811"	"Chlorothalonil MTB R471811"		"M"		"IUPAC"				
"chlortoluron"	"Chlortoluron"	"15545-48-9"	"H"	67000	"IUPAC"	2.3		0.4	
"clothianidin"	"Chlothianidin"	"210880-92-5"	"I"	29	"IUPAC"	0.007	0.015714		
"cyazofamid"	"Cyazofamid"	"120116-88-3"	"F"	190	"IUPAC"	0.77	0.102952		
"cypronidil"	"Cypronidil"	"121552-61-2"	"F"	220	"IUPAC"	0.75	0.119208		
"desaminometamitron"	"Desaminometamitron"		"M"		"IUPAC"				
"desmethylchlortoluron"	"Desmethylchlortoluron"		"M"		"IUPAC"				
"dichlorprop_P"	"Dichlorprop-P"	"15165-67-0"	"H"	1e+05	"IUPAC"	5.2			
"difenoconazol"	"Difenoconazole"	"119446-68-3"	"F"	770	"IUPAC"	0.36			
"diflufenican"	"Diflufenican"	"83164-33-4"	"H"	240	"IUPAC"	0.025		0.009	
"dimethachlor"	"Dimethachlor"	"50563-36-5"	"H"	24000	"IUPAC"	3.5			
"dimethachlor_CGA_354742"	"Dimethachlor CGA 354742"		"M"		"IUPAC"				
"dimethachlor_CGA_369873"	"Dimethachlor CGA 369873"		"M"		"IUPAC"				
"dimethenamid_P"	"Dimethenamid-P"	"163515-14-8"	"H"	3200	"IUPAC"	1.52			
"dimethenamid_P_M23"	"Dimethenamid-P-M23"		"M"		"IUPAC"				
"dimethenamid_P_M27"	"Dimethenamid-P-M27"		"M"		"IUPAC"				
"dimethoat"	"Dimethoate"	"60-51-5"	"I"	769.45	"Ecotox"	4	0.416929	0.07	1
"dimethomorph"	"Dimethomorph"	"110488-70-5"	"F"	20100	"IUPAC"	5.6			
"dimoxystrobin"	"Dimoxystrobin"	"149961-52-4"	"F"	39.4	"IUPAC"	0.0316		0.03	2
"epoxiconazol"	"Epoxiconazole"	"135319-73-2"	"F"	62.5	"IUPAC"	0.46		0.2	
"ethofumesat"	"Ethofumesat"	"26225-79-6"	"H"	13520	"IUPAC"	15.6	7.325861		
"fenpropidin"	"Fenpropidin"	"67306-00-7"	"F"	540	"IUPAC"	0.25			
"fipronil"	"Fipronil"	"120068-37-3"	"I"	0.42	"Ecotox"	0.00077	0.000228		
